                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1545,                 0.7227,                 1.2962,                0.61251,                0.64664,                0.63991,                0.36557,                 1.7478,                  2.033,                 2.2906,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.1509,                0.67811,                 1.2817,                0.73773,                0.61177,                0.65793,                 0.3898,                 1.7317,                 1.7376,                 2.2149,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.0974,                0.63433,                 1.2381,                0.75038,                0.59682,                0.68649,                0.38891,                 1.7816,                  1.763,                 2.2464,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.0524,                0.64421,                 1.2359,                0.63784,                0.69199,                0.69676,                0.41378,                 1.7302,                 1.8705,                 2.1876,             0.00070404,             0.00070404,             0.00070404
                     39,                  1.126,                0.71068,                 1.3159,                0.73347,                0.70855,                0.69609,                 0.4095,                 1.6998,                 1.7707,                 2.1841,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.0883,                0.67715,                 1.2957,                0.69816,                0.67429,                0.68456,                0.41655,                  1.674,                 1.6471,                 2.1635,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.0653,                0.64015,                 1.2186,                0.58299,                0.67084,                0.69489,                  0.386,                  1.711,                 1.7937,                 2.1824,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.0202,                0.61788,                 1.2184,                0.61746,                0.70095,                0.68671,                0.41542,                  1.683,                 1.7797,                 2.1913,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.0645,                0.59401,                 1.2321,                0.64557,                0.59452,                0.63684,                0.35411,                 1.8108,                  1.856,                 2.3925,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.0211,                0.59235,                 1.2103,                 0.7357,                 0.7539,                0.73712,                0.42032,                 1.7718,                  1.674,                 2.3197,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.0238,                 0.6104,                 1.2425,                0.72321,                0.74519,                0.75197,                0.41785,                 1.7953,                 1.5863,                 2.3067,             0.00062705,             0.00062705,             0.00062705
                     46,                0.98725,                0.57762,                 1.2209,                0.74863,                0.72508,                0.75224,                0.41377,                 1.7017,                  1.384,                 2.1913,             0.00061605,             0.00061605,             0.00061605
                     47,                0.99694,                0.56142,                 1.1861,                0.71106,                0.75095,                0.75655,                0.41807,                 1.6717,                 1.3115,                  2.218,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.0101,                0.58271,                 1.2176,                0.86367,                0.73175,                0.78149,                0.42931,                 1.6782,                 1.3342,                 2.1937,             0.00059405,             0.00059405,             0.00059405
                     49,                0.97527,                0.59777,                 1.2259,                0.72884,                0.74971,                0.76962,                0.41645,                 1.6805,                  1.543,                 2.1772,             0.00058305,             0.00058305,             0.00058305
                     50,                0.96393,                0.58126,                 1.2216,                0.76454,                0.78621,                0.77481,                0.41265,                 1.7058,                 1.5623,                 2.2484,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.0136,                0.56338,                  1.187,                0.77567,                0.75266,                0.78888,                0.43086,                 1.7002,                 1.5826,                 2.2637,             0.00056105,             0.00056105,             0.00056105
                     52,                 0.9891,                0.58221,                 1.1965,                0.79772,                0.74725,                0.81033,                0.46508,                 1.6534,                 1.3687,                 2.1669,             0.00055006,             0.00055006,             0.00055006
                     53,                0.94051,                0.55163,                 1.1639,                0.80301,                0.77244,                0.81971,                0.45498,                  1.716,                 1.4096,                 2.2663,             0.00053906,             0.00053906,             0.00053906
                     54,                0.93929,                0.52938,                 1.1929,                0.88762,                 0.7519,                0.82086,                0.46919,                 1.6957,                 1.4492,                 2.1864,             0.00052806,             0.00052806,             0.00052806
                     55,                0.90441,                0.52794,                 1.1708,                0.88855,                0.73352,                0.80277,                0.46198,                 1.6596,                  1.537,                 2.0993,             0.00051706,             0.00051706,             0.00051706
                     56,                0.89277,                0.52232,                 1.1442,                0.84736,                0.76566,                0.80372,                0.43296,                 1.6891,                 1.7034,                 2.1149,             0.00050606,             0.00050606,             0.00050606
                     57,                0.91563,                0.52339,                 1.1217,                0.81377,                0.75933,                0.78428,                0.42509,                 1.7337,                 1.6364,                 2.1647,             0.00049506,             0.00049506,             0.00049506
                     58,                0.87596,                0.53595,                 1.1436,                 0.7825,                0.69107,                0.77508,                0.42266,                 1.7296,                 1.6396,                 2.2006,             0.00048406,             0.00048406,             0.00048406
                     59,                0.86408,                0.51312,                 1.0998,                0.73044,                0.59655,                0.70727,                 0.4152,                 1.7042,                 1.6184,                 2.1926,             0.00047306,             0.00047306,             0.00047306
                     60,                0.87212,                0.49821,                 1.1196,                0.79974,                0.67521,                0.74236,                0.43077,                 1.7406,                 1.6172,                 2.2034,             0.00046206,             0.00046206,             0.00046206
                     61,                0.86812,                 0.4973,                 1.1142,                0.78337,                0.73914,                0.78986,                 0.4443,                 1.7713,                 1.6129,                 2.2652,             0.00045107,             0.00045107,             0.00045107
                     62,                0.80534,                0.46947,                 1.0626,                0.86804,                0.72528,                 0.8079,                0.46582,                 1.7542,                 1.5714,                 2.2557,             0.00044007,             0.00044007,             0.00044007
                     63,                0.82027,                0.46551,                 1.1018,                0.88228,                0.72302,                0.79573,                 0.4327,                 1.7503,                 1.6004,                 2.2397,             0.00042907,             0.00042907,             0.00042907
                     64,                0.84761,                 0.4882,                 1.1183,                 0.8926,                0.74073,                0.80098,                 0.4338,                 1.7397,                 1.4205,                  2.233,             0.00041807,             0.00041807,             0.00041807
                     65,                0.86306,                0.48361,                 1.1188,                0.84257,                0.79242,                 0.8139,                0.44687,                 1.6839,                 1.3631,                 2.1674,             0.00040707,             0.00040707,             0.00040707
                     66,                0.79934,                0.46934,                 1.0659,                0.90527,                0.76065,                0.82125,                0.42362,                 1.7359,                 1.4577,                 2.2134,             0.00039607,             0.00039607,             0.00039607
                     67,                0.79875,                0.44164,                 1.0878,                0.95391,                0.67707,                 0.8238,                0.43741,                 1.7124,                 1.5012,                 2.1906,             0.00038507,             0.00038507,             0.00038507
                     68,                0.78111,                0.44193,                 1.0657,                0.89162,                0.72581,                0.81761,                0.46002,                 1.6245,                 1.4824,                 2.0992,             0.00037407,             0.00037407,             0.00037407
                     69,                0.80058,                0.45893,                 1.0641,                0.78452,                0.74156,                0.80464,                0.46514,                 1.6495,                 1.4307,                 2.1367,             0.00036307,             0.00036307,             0.00036307
                     70,                 0.7678,                0.43457,                 1.0603,                0.81028,                0.71415,                0.79158,                0.46803,                 1.6435,                 1.3232,                  2.155,             0.00035208,             0.00035208,             0.00035208
                     71,                0.77144,                0.43258,                 1.0544,                 0.7502,                0.71485,                0.77347,                 0.4541,                 1.6736,                 1.4726,                 2.1835,             0.00034108,             0.00034108,             0.00034108
                     72,                0.74139,                0.42736,                 1.0599,                0.80025,                0.73566,                0.78495,                0.45566,                 1.6438,                 1.5214,                 2.1242,             0.00033008,             0.00033008,             0.00033008
                     73,                0.74884,                0.42154,                 1.0542,                0.83947,                0.78462,                0.80294,                0.46148,                 1.6488,                  1.459,                 2.1366,             0.00031908,             0.00031908,             0.00031908
                     74,                0.73274,                0.42069,                 1.0448,                0.84771,                0.78795,                0.81047,                0.46264,                 1.6475,                 1.4133,                 2.1728,             0.00030808,             0.00030808,             0.00030808
                     75,                0.73345,                0.41006,                 1.0278,                0.77253,                0.80034,                0.80926,                0.45599,                 1.6995,                 1.3843,                 2.2652,             0.00029708,             0.00029708,             0.00029708
                     76,                0.69588,                0.41414,                 1.0467,                0.77577,                0.78933,                0.80748,                0.43436,                 1.7596,                 1.3599,                 2.3323,             0.00028608,             0.00028608,             0.00028608
                     77,                0.69155,                 0.4041,                 1.0206,                0.79094,                0.80947,                 0.8336,                0.45316,                 1.7402,                 1.3813,                 2.3059,             0.00027508,             0.00027508,             0.00027508
                     78,                0.70631,                0.39223,                 1.0355,                0.84792,                0.78394,                0.83136,                0.47425,                 1.7469,                 1.4699,                 2.2972,             0.00026408,             0.00026408,             0.00026408
                     79,                0.69106,                0.39334,                  1.014,                0.85645,                 0.7705,                0.82405,                0.46896,                 1.7213,                 1.4496,                 2.2951,             0.00025309,             0.00025309,             0.00025309
                     80,                 0.6583,                0.38312,                 1.0001,                0.82991,                0.77587,                0.81991,                0.47267,                 1.6965,                 1.4318,                 2.2648,             0.00024209,             0.00024209,             0.00024209
                     81,                0.66083,                0.37262,                 1.0033,                0.92031,                0.75104,                0.81929,                0.46105,                 1.7009,                 1.4654,                 2.2637,             0.00023109,             0.00023109,             0.00023109
                     82,                0.63695,                0.36577,                 1.0111,                0.89642,                 0.7408,                0.82133,                 0.4545,                   1.71,                 1.5183,                 2.2773,             0.00022009,             0.00022009,             0.00022009
                     83,                0.69457,                0.40365,                 1.0379,                0.82492,                0.77891,                0.83408,                0.46912,                 1.7162,                 1.5797,                 2.2865,             0.00020909,             0.00020909,             0.00020909
                     84,                0.65884,                0.37847,                 1.0029,                0.94594,                0.70081,                0.83076,                0.46767,                 1.7426,                 1.5953,                 2.3362,             0.00019809,             0.00019809,             0.00019809
                     85,                0.65152,                0.37948,                 1.0028,                0.79245,                0.75435,                0.82333,                0.46287,                 1.7108,                 1.5462,                 2.3154,             0.00018709,             0.00018709,             0.00018709
                     86,                0.65642,                0.37245,                 1.0293,                0.84495,                0.75667,                0.83023,                 0.4718,                 1.6798,                 1.5082,                 2.2793,             0.00017609,             0.00017609,             0.00017609
                     87,                0.64033,                0.35387,                0.97821,                0.82473,                0.77617,                0.81864,                0.46991,                 1.6797,                 1.5408,                 2.2572,             0.00016509,             0.00016509,             0.00016509
                     88,                0.62108,                0.36061,                0.98635,                0.85461,                0.74561,                0.81585,                0.45163,                 1.7102,                 1.5514,                 2.2912,              0.0001541,              0.0001541,              0.0001541
                     89,                0.62047,                0.35663,                0.98744,                0.81462,                0.72893,                0.82031,                0.46718,                 1.7063,                 1.5256,                 2.2929,              0.0001431,              0.0001431,              0.0001431
                     90,                0.61618,                 0.3537,                0.99286,                 0.9108,                0.69889,                0.82405,                0.46244,                 1.7122,                 1.4839,                 2.2959,              0.0001321,              0.0001321,              0.0001321
                     91,                0.58895,                0.35144,                0.98363,                 0.8947,                0.69386,                0.82927,                0.46265,                 1.7239,                 1.4746,                 2.3118,              0.0001211,              0.0001211,              0.0001211
                     92,                  0.575,                0.32354,                0.97327,                0.79623,                0.79844,                0.83831,                 0.4669,                 1.7246,                 1.4744,                  2.329,              0.0001101,              0.0001101,              0.0001101
                     93,                0.57713,                0.31218,                0.96582,                0.83712,                0.78552,                0.83875,                0.46565,                 1.7183,                 1.5288,                  2.329,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.52412,                0.30475,                0.95052,                0.81972,                0.78295,                0.83774,                0.46368,                 1.7016,                 1.5168,                  2.324,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.53728,                 0.2954,                0.94568,                0.89743,                0.75411,                0.83484,                0.46246,                 1.6989,                 1.5083,                 2.3298,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.53624,                0.30001,                0.95034,                0.93609,                0.73148,                0.83337,                0.46516,                 1.7004,                 1.5377,                 2.3213,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.50474,                 0.2766,                0.93385,                0.92899,                0.73241,                0.82985,                0.46965,                 1.7028,                 1.5679,                 2.3232,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.52882,                0.29599,                0.93987,                0.91234,                0.73715,                0.83226,                0.47175,                  1.689,                 1.5818,                  2.314,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                  0.496,                0.28054,                0.91309,                0.87071,                0.74842,                0.83091,                0.47081,                 1.6827,                 1.5824,                 2.3042,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.46668,                0.26676,                0.91276,                0.89376,                0.74462,                0.83187,                0.47032,                 1.6844,                 1.6052,                 2.3056,             2.2109e-05,             2.2109e-05,             2.2109e-05
